订单编号,单量,总收入,佣金,附加费,运费,退货退款,净利润 (比索),Venta por publicidad,SKU,# de publicación
2000010306635536,2,399.45,-64.23,-16.55,-55.09,0.0,84.48,是,A-001,MLM4030009536
2000010306635543,1,200.12,-30.39,-4.05,-36.05,0.0,40.08,否,A-001,MLM4030009543
2000010306635550,1,411.94,-69.22,-12.85,-58.53,0.0,78.29,是,H-007,MLM4030009550
2000010306635557,2,388.39,-54.18,-16.94,-29.16,0.0,109.01,否,A-001,MLM4030009557
2000010306635564,2,538.42,-78.18,-14.27,-38.75,0.0,174.12,是,BS-002-BK,MLM4030009564
2000010306635571,1,247.64,-36.36,-10.1,-57.67,0.0,26.96,否,BS-002-BK,MLM4030009571
2000010306635578,1,670.96,-105.57,-13.49,-28.93,-611.68,-380.76,否,W009-DDJ,MLM4030009578
2000010306635585,2,1346.46,-201.64,-34.53,-31.98,0.0,494.21,否,W009-DDJ,MLM4030009585
2000010306635592,1,189.7,-28.56,-7.17,-32.14,0.0,32.28,是,A-001,MLM4030009592
2000010306635599,1,409.24,-56.33,-17.33,-57.94,0.0,84.59,否,H-007,MLM4030009599
2000010306635606,1,265.11,-38.95,-9.84,-53.88,0.0,45.89,是,BS-002-BK,MLM4030009606
2000010306635613,2,1287.17,-192.72,-47.78,-46.55,-1099.14,-683.12,是,W009-DDJ,MLM4030009613
2000010306635620,2,415.95,-70.32,-13.9,-52.96,0.0,99.67,是,A-001,MLM4030009620
2000010306635627,2,542.37,-74.89,-26.6,-46.55,0.0,161.23,否,BS-002-BK,MLM4030009627
2000010306635634,2,542.57,-73.95,-19.95,-33.93,0.0,181.64,是,BS-002-BK,MLM4030009634
2000010306635641,2,529.81,-75.2,-26.48,-53.72,0.0,141.31,是,BS-002-BK,MLM4030009641
2000010306635648,2,388.85,-61.67,-19.17,-41.15,0.0,87.76,否,A-001,MLM4030009648
2000010306635655,2,522.09,-71.03,-13.96,-41.2,0.0,162.8,是,BS-002-BK,MLM4030009655
2000010306635662,1,430.22,-69.02,-14.41,-32.97,0.0,120.77,是,H-007,MLM4030009662
2000010306635669,2,511.06,-83.78,-12.04,-38.31,0.0,143.83,是,BS-002-BK,MLM4030009669
2000010306635676,1,412.87,-68.82,-12.67,-50.06,0.0,88.27,否,H-007,MLM4030009676
2000010306635683,2,1354.43,-198.28,-34.62,-42.21,-1154.32,-659.1,是,W009-DDJ,MLM4030009683
2000010306635690,2,381.2,-64.79,-11.32,-37.2,0.0,88.79,否,A-001,MLM4030009690
2000010306635697,1,249.77,-37.52,-5.82,-47.98,0.0,41.9,否,BS-002-BK,MLM4030009697
2000010306635704,2,540.66,-81.04,-11.0,-37.05,0.0,178.47,是,BS-002-BK,MLM4030009704
2000010306635711,2,381.73,-62.49,-14.98,-56.63,0.0,68.53,是,A-001,MLM4030009711
2000010306635718,1,446.02,-74.61,-13.78,-58.2,0.0,106.38,是,H-007,MLM4030009718
2000010306635725,1,653.47,-105.08,-16.96,-53.33,0.0,186.05,是,W009-DDJ,MLM4030009725
2000010306635732,1,202.28,-33.56,-4.32,-48.77,0.0,26.08,是,A-001,MLM4030009732
2000010306635739,1,441.89,-66.29,-16.65,-28.56,0.0,137.34,是,H-007,MLM4030009739
2000010306635746,2,416.45,-57.75,-17.94,-30.39,0.0,131.27,是,A-001,MLM4030009746
2000010306635753,2,380.4,-54.41,-12.75,-45.28,0.0,88.86,是,A-001,MLM4030009753
2000010306635760,2,833.73,-124.39,-24.36,-61.79,0.0,237.09,否,H-007,MLM4030009760
2000010306635767,1,253.02,-41.91,-12.46,-31.53,0.0,50.57,是,BS-002-BK,MLM4030009767
2000010306635774,1,248.96,-39.22,-11.43,-42.93,0.0,38.83,是,BS-002-BK,MLM4030009774
2000010306635781,1,672.18,-112.55,-23.23,-28.2,0.0,216.15,否,W009-DDJ,MLM4030009781
2000010306635788,1,256.8,-39.92,-6.06,-29.89,0.0,64.38,是,BS-002-BK,MLM4030009788
2000010306635795,2,538.24,-71.32,-25.92,-49.66,0.0,158.24,是,BS-002-BK,MLM4030009795
2000010306635802,1,652.23,-84.96,-31.4,-40.36,0.0,203.46,是,W009-DDJ,MLM4030009802
2000010306635809,2,881.19,-130.94,-25.94,-53.16,0.0,285.05,是,H-007,MLM4030009809
2000010306635816,2,886.63,-128.0,-35.95,-44.45,0.0,292.13,否,H-007,MLM4030009816
2000010306635823,2,872.36,-135.32,-36.59,-30.85,0.0,283.5,否,H-007,MLM4030009823
2000010306635830,1,191.88,-29.96,-5.24,-60.77,0.0,6.36,是,A-001,MLM4030009830
2000010306635837,1,203.07,-28.96,-10.05,-30.37,0.0,44.14,是,A-001,MLM4030009837
2000010306635844,2,1237.25,-192.06,-56.03,-61.39,-821.21,-477.54,是,W009-DDJ,MLM4030009844
2000010306635851,2,1233.3,-207.76,-51.44,-56.06,0.0,333.94,否,W009-DDJ,MLM4030009851
2000010306635858,2,1237.39,-198.07,-36.9,-31.76,-1052.06,-665.5,否,W009-DDJ,MLM4030009858
2000010306635865,2,498.91,-73.15,-11.9,-31.43,0.0,149.33,是,BS-002-BK,MLM4030009865
